Number,City,State Abbreviation,State,Total number of Tweets made over 6 years,Prevalence of Racism in % (x 10^-2),Average Number of All Hate Crimes*,Total RHC** Numbers across 6 years,Average RHC over pop. in % (x 10^-3),RHC normalized over all HC,Proportion of Racism that is Targeted,Targeted Racism in % (x 10^-2),Self-narration Racism in % (x 10^-2),White in %,Black in %,Asian in %,Hisp/Latino in %,Foreign born in %,non-English lang in %,Owner-occupied houses in %,Median house price in $,Bachelors in %,Median income in $,Below poverty in %,Avg. time to work in minutes,Population density (people per sq.mile),Female in %,Age-18 to 64 in %
1,New York,NY,New York,74838644,3.666,316.83,364,0.72095,0.194,0.449948355,1.64951067,2.0160686,43.1,24.4,13.7,29,37.2,49,32,508900,36.2,55191,20.3,40.3,27012.5,52.3,59.2
2,Seattle,WA,Washington,7642233,2.875,82.33,293,7.44541,0.629,0.599913287,1.7247507,1.1498338,69.2,7.1,14.1,6.6,18,21.7,46.2,484600,60.4,74458,13,26.9,7250.9,49.9,67.8
3,Phoenix,AZ,Arizona,11335982,4.807,152.33,566,6.19938,0.667,0.529998781,2.54770414,2.2592848,72.6,6.8,3.5,41.8,19.8,37.1,52.7,178200,27.4,49328,22.3,25.1,2797.8,50.2,55.8
4,San Diego,CA,California,14321274,3.876,37.83,96,1.17255,0.441,0.399970191,1.55028446,2.32542669,64.6,6.4,16.8,30.2,26.5,40.8,46.5,488600,43.6,68117,15,23.5,4020.4,49.8,61.2
5,Los Angeles,CA,California,52789613,3.57,163.17,466,1.98734,0.438,0.400044076,1.42815735,2.14223602,52.4,9,11.6,48.6,37.8,59.8,36.6,496300,32.5,51538,21.5,30.5,8092.3,50.5,60.6
6,San Francisco,CA,California,9968440,2.297,32,63,1.2465,0.333,0.400020109,0.91884619,1.37826929,48.1,5.4,33.9,15.3,34.9,44,36.8,858800,54.8,87701,12.5,32.4,17179.1,49,67.5
7,Washington,DC,DC,15486582,3.114,65.33,133,3.40235,0.3,0.599959778,1.86827475,1.2455165,40.4,48.3,3.6,10.5,14,17.4,40.7,506100,55.4,72935,17.9,29.9,9856.6,52.6,64.8
8,Chicago,IL,Illinois,32058146,3.143,34.67,106,0.64988,0.556,0.300021966,0.94296904,2.20026109,48.7,30.9,6.1,29.1,20.9,36.2,44.1,225200,36.5,50434,21.7,34.4,11841.8,51.5,60.3
9,Columbus,OH,Ohio,11710145,4.669,109.5,508,10.27835,0.757,0.620043776,2.89498439,1.77434527,61.1,28,4.9,5.8,11.6,14.7,45,131800,34.8,47156,21.2,21.5,3624.1,51.3,60.3
10,Boston,MA,Massachusetts,11818664,3.399,123.83,515,12.7351,0.533,0.599927761,2.03915446,1.35943631,53,25.4,9.3,19,27.6,37.1,34.7,423200,46.4,58516,21.1,30.3,12792.7,52,67.5
11,Kansas City,MO,Missouri,3274415,5.327,38.83,181,6.43853,0.556,0.580045074,3.08990011,2.23751387,60.1,29.1,2.6,10,7.3,11.5,53.7,135900,33,47489,18.3,21.6,1459.9,51.5,57.4
12,Minneapolis,MN,Minnesota,5063231,6.404,34,93,4.61744,0.456,0.523487044,3.35241103,3.051588966,64.8,18.8,5.9,9.6,15.3,20.9,47.4,212800,47.7,52611,21.3,22.7,7088.3,49.4,71.2
13,Las Vegas Metropolitan Police Department,NV,Nevada,9544604,9.112,38.83,139,1.97522,0.597,0.395044688,3.5996472,5.512352803,64,11.8,6.5,32.2,21,33.5,52.1,184900,22.4,50882,16.8,25.4,4298.2,50,62.1
14,Indianapolis,IN,Indiana,8647620,3.179,27.83,127,3.15457,0.76,0.230914665,0.73407772,2.444922283,61.6,28,2.8,9.9,8.8,13,53,120400,29,43101,20.9,23,2270,51.8,64.1
15,Denver,CO,Colorado,6048375,0.981,25.83,74,2.08022,0.477,0.216044648,0.2119398,0.769060203,77,9.8,3.5,30.8,15.9,27.1,49.4,292700,45.7,56258,16.4,25.1,3922.6,50,68.4
16,Eugene,OR,Oregon,1944552,1.433,19.17,73,11.28198,0.635,0.607864759,0.8710702,0.5619298,84.5,1.9,4.3,9,8.1,11.2,48.8,246400,39.7,44859,23.1,17.9,3572.1,50.8,67.7
17,Lexington,KY,Kentucky,722985,4.168,29,112,6.5723,0.644,0.578567152,2.41146789,1.75653211,75.8,14.5,3.5,6.8,8.9,12.1,53.6,170800,41.4,50661,18.9,20.6,1042.8,50.9,67.1
18,Buffalo,NY,New York,4701818,3.879,15.67,72,7.28057,0.766,0.677017605,2.62615129,1.252848711,48.1,37.3,4.9,10.9,8.9,16.8,41.4,72600,25.3,33119,31.2,20.9,6470.6,52.4,65.1
19,Charlotte-Mecklenburg,NC,North Carolina,9292319,1.434,19.33,68,1.83977,0.586,0.367954212,0.52764634,0.906353655,50.7,35.3,6,13.7,16,20.8,53.3,178000,42,55599,15.8,25.1,2457.1,52.1,66.1
20,Cincinnati,OH,Ohio,4176956,5.626,26,120,8.59263,0.769,0.64642396,3.6367812,1.9892188,50.7,43.1,1.8,3.2,5.1,7.6,37.7,120300,33.8,34629,29.9,22.6,3809.8,52.1,66.3
